PeakID (cmd=annotatePeaks.pl ../chip_output/macs2_output/SRR21586220_summits.bed mm10 -gtf ../chip_output/tmp/mm10.ncbiRefSeq.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SRR21586220_peak_3008	chr10	4243714	4243714	+	20.5378	NA	Intergenic	Intergenic	-22615	NM_031185.3	Akap12	NM_031185			Akap12			
SRR21586220_peak_43159b	chr9	59291541	59291541	+	20.5367	NA	promoter-TSS (NM_001359282.1)	-promoter-TSS (NM_001359282.1)	-31	NM_001359282.1	Adpgk	NM_028121			Adpgk			
SRR21586220_peak_32365a	chr5	63932921	63932921	+	20.5342	NA	intron (XM_006503621.4, intron 3 of 6)	-intron (NM_145923.4, intron 3 of 6)	35976	NM_145923.4	Rell1	NM_145923			Rell1			
SRR21586220_peak_36265b	chr6	120665841	120665841	+	20.533	NA	promoter-TSS (NM_001128151.2_2)	-promoter-TSS (NM_001128151.2_2)	-473	NM_001368706.1_2	Cecr2	XM_011241396			Cecr2			
SRR21586220_peak_3454	chr10	28527091	28527091	+	20.5281	NA	intron (XM_017313850.2, intron 13 of 34)	-intron (NM_001359355.1, intron 13 of 33)	-141269	NM_178666.6	Themis	XM_006512643			Themis			
SRR21586220_peak_11607	chr13	66364891	66364891	+	20.5216	NA	intron (XR_873609.1, intron 3 of 3)	-intron (XR_382586.2, intron 3 of 3)	5805	XR_382585.2	Gm33043	XR_382585			Gm33043			
SRR21586220_peak_16241a	chr15	103272613	103272613	+	20.5201	NA	promoter-TSS (NM_001357748.1)	-promoter-TSS (NM_001357748.1)	-275	NM_001357748.1	Copz1	NM_001357748			Copz1			
SRR21586220_peak_31156	chr4	147275450	147275450	+	20.5201	NA	promoter-TSS (Gm13135)	-promoter-TSS (Gm13135)	-167	Gm13135	Gm13135	Gm13135			Gm13135			NA
SRR21586220_peak_32915b	chr5	102409726	102409726	+	20.5201	NA	intron (XM_006534888.2, intron 1 of 9)	-intron (XM_006534888.2, intron 1 of 9)	7220	Gm6622	Gm6622	Gm6622			Gm6622			NA
SRR21586220_peak_44730	chrX	22154610	22154610	+	20.5152	NA	Intergenic	Intergenic	58281	Gm14563	Gm14563	Gm14563			Gm14563			NA
SRR21586220_peak_32678a	chr5	85173642	85173642	+	20.5152	NA	Intergenic	Intergenic	-306740	Gm21006	Gm21006	Gm21006			Gm21006			NA
SRR21586220_peak_28641	chr4	21745938	21745938	+	20.515	NA	intron (NM_016746.4, intron 9 of 11)	-intron (NM_001122982.2, intron 9 of 11)	18237	NM_001122982.2	Ccnc	NM_001290422			Ccnc			
SRR21586220_peak_15786a	chr15	85634718	85634718	+	20.515	NA	exon (XR_003951642.1, exon 1 of 2)	-exon (XR_003951642.1, exon 1 of 2)	122	XR_003951642.1	D130051D11Rik	XR_003951642			D130051D11Rik			
SRR21586220_peak_20945c	chr18	59731161	59731161	+	20.515	NA	Intergenic	Intergenic	43310	Gm8697	Gm8697	Gm8697			Gm8697			NA
SRR21586220_peak_33795b	chr5	134410553	134410553	+	20.5075	NA	intron (XM_030254732.1, intron 4 of 29)	-intron (NM_001081462.2, intron 4 of 29)	512	XM_011240898.1	Gtf2ird1	XM_011240893			Gtf2ird1			
SRR21586220_peak_45114	chrX	74328898	74328898	+	20.504	NA	promoter-TSS (NM_001358129.1)	-promoter-TSS (NM_001358129.1)	-158	XM_006527902.4	Plxna3	XM_030251261			Plxna3			
SRR21586220_peak_34674b	chr6	27554819	27554819	+	20.504	NA	intron (XM_030255174.1, intron 7 of 10)	-intron (NM_001311072.1, intron 6 of 9)	-113268	Gm26310	Gm26310	Gm26310			Gm26310			NA
SRR21586220_peak_37478c	chr7	27311273	27311273	+	20.5019	NA	TTS (NM_001310678.1)	-TTS (NM_001310678.1)	-18537	XR_391221.3	Gm30543	XR_391221			Gm30543			
SRR21586220_peak_41439c	chr8	95807943	95807943	+	20.5009	NA	promoter-TSS (NM_001205226.2)	-promoter-TSS (NM_001205226.2)	170	XR_003947260.1	Cnot1	NM_001205226			Cnot1			
SRR21586220_peak_21416c	chr19	3533677	3533677	+	20.4984	NA	intron (XM_030250988.1, intron 1 of 22)	-intron (NM_001164159.1, intron 1 of 21)	-33874	Gm19205	Gm19205	Gm19205			Gm19205			NA
SRR21586220_peak_15495c	chr15	78406576	78406576	+	20.4949	NA	promoter-TSS (NM_001162492.1)	-promoter-TSS (NM_001162492.1)	-136	NM_001162493.1	Mpst	XM_006520996			Mpst			
SRR21586220_peak_4743	chr10	93242439	93242439	+	20.4884	NA	exon (XM_030245084.1, exon 17 of 17)	-exon (XM_030245084.1, exon 17 of 17)	35447	XM_030245084.1	Cdk17	XM_030245084			Cdk17			
SRR21586220_peak_24141b	chr2	87481196	87481196	+	20.4884	NA	Intergenic	Intergenic	11222	NM_178250.2	Pramel7	NM_178250			Pramel7			
SRR21586220_peak_13599b	chr14	63500652	63500652	+	20.486	NA	exon (XR_874704.3, exon 4 of 4)	-exon (XR_874704.3, exon 4 of 4)	6996	XR_874704.3	Gm17232	XR_874704			Gm17232			
SRR21586220_peak_7633a	chr11	97489933	97489933	+	20.4849	NA	TTS (NM_001289118.1)	-TTS (NM_001289118.1)	10235	XM_030245435.1	4933428G20Rik	XM_030245433			4933428G20Rik			
SRR21586220_peak_9106b	chr12	41566118	41566118	+	20.4846	NA	intron (XM_017315261.2, intron 1 of 3)	-intron (NM_053122.4, intron 4 of 6)	41352	XR_872726.2	Gm40412	XR_872726			Gm40412			
SRR21586220_peak_33531	chr5	122850310	122850310	+	20.4846	NA	promoter-TSS (NR_169045.1)	-promoter-TSS (NR_169045.1)	122	NM_030564.1	Rnf34	XM_006530512			Rnf34			
SRR21586220_peak_27335b	chr3	92240368	92240368	+	20.4799	NA	Intergenic	Intergenic	-10279	NM_001164787.1	Sprr2a2	NM_001164787			Sprr2a2			
SRR21586220_peak_16537	chr16	13951541	13951541	+	20.4748	NA	Intergenic	Intergenic	10876	NM_001289567.1	Mpv17l	NM_033564			Mpv17l			
SRR21586220_peak_15816b	chr15	88751447	88751447	+	20.4701	NA	promoter-TSS (NM_181412.3)	-promoter-TSS (NM_181412.3)	-215	XM_006520841.4	Zbed4	XM_030248511			Zbed4			
SRR21586220_peak_6925c	chr11	72441202	72441202	+	20.4701	NA	promoter-TSS (NM_016776.3)	-promoter-TSS (NM_016776.3)	-125	NM_016776.3	Mybbp1a	NM_016776			Mybbp1a			
SRR21586220_peak_40532b	chr8	45063620	45063620	+	20.4665	NA	intron (NR_033588.1, intron 2 of 4)	-intron (NR_033588.1, intron 2 of 4)	1798	NR_033588.1	AY512931	NR_033588			AY512931			
SRR21586220_peak_4442	chr10	80676614	80676614	+	20.4642	NA	promoter-TSS (NM_021462.4)	-promoter-TSS (NM_021462.4)	-321	NM_021462.4	Mknk2	XM_017313824			Mknk2			
SRR21586220_peak_6498a	chr11	57962611	57962611	+	20.4574	NA	Intergenic	Intergenic	-10807	XM_017314797.2	Larp1	XM_017314797			Larp1			
SRR21586220_peak_15567a	chr15	79927913	79927913	+	20.4562	NA	intron (XM_011245690.3, intron 1 of 5)	-intron (NM_144811.3_2, intron 2 of 6)	-2460	XM_011245692.3	Cbx7	XR_003951404			Cbx7			
SRR21586220_peak_40980a	chr8	72677157	72677157	+	20.4535	NA	intron (XR_003947306.1, intron 8 of 17)	-intron (NM_176940.5, intron 9 of 18)	20055	XM_006531089.2	Nwd1	XM_030243607			Nwd1			
SRR21586220_peak_10496b	chr13	11005956	11005956	+	20.4529	NA	Intergenic	Intergenic	331567	XR_873124.1	Gm40666	XR_873124			Gm40666			
SRR21586220_peak_44127c	chr9	110117540	110117540	+	20.4491	NA	promoter-TSS (NM_001252682.1)	-promoter-TSS (NM_001252682.1)	76	NM_001252682.1	Dhx30	XM_011243029			Dhx30			
SRR21586220_peak_14794a	chr15	36793515	36793515	+	20.4436	NA	exon (NM_001356569.1, exon 2 of 7)	-exon (NM_001356569.1, exon 2 of 7)	817	XM_030248527.1	Ywhaz	NM_001253807			Ywhaz			
SRR21586220_peak_16222a	chr15	102518021	102518021	+	20.4426	NA	promoter-TSS (NM_001253795.1)	-promoter-TSS (NM_001253795.1)	-159	XM_006520720.3	Tarbp2	XM_006520723			Tarbp2			
SRR21586220_peak_9865c	chr12	86801234	86801234	+	20.4402	NA	Intergenic	Intergenic	-20169	XR_003950102.1	Gm32806	XR_003950102			Gm32806			
SRR21586220_peak_15379	chr15	76619904	76619904	+	20.4364	NA	Intergenic	Intergenic	-1398	XM_006521427.2	Slc39a4	NM_028064			Slc39a4			
SRR21586220_peak_4853	chr10	97563265	97563265	+	20.4304	NA	Intergenic	Intergenic	-2236	NM_008524.2	Lum	NM_008524			Lum			
SRR21586220_peak_9018b	chr12	33380218	33380218	+	20.4304	NA	intron (NR_131031.1, intron 2 of 3)	-intron (NR_131031.1, intron 2 of 3)	14542	NR_131031.1	Atxn7l1os2	NR_131031			Atxn7l1os2			
SRR21586220_peak_7553a	chr11	96064668	96064668	+	20.4252	NA	intron (NM_172300.3, intron 1 of 6)	-intron (NM_172300.3, intron 1 of 6)	696	NM_172300.3	Ube2z	NM_172300			Ube2z			
SRR21586220_peak_28770b	chr4	33377882	33377882	+	20.4252	NA	intron (XM_017320189.2, intron 12 of 14)	-intron (NM_001305273.1, intron 11 of 15)	-60199	NR_106198.1	Mir8118	NR_106198			Mir8118			
SRR21586220_peak_8471	chr11	121204379	121204379	+	20.4237	NA	promoter-TSS (NM_001001333.2)	-promoter-TSS (NM_001001333.2)	20	XM_006533269.3	Hexdc	NM_001146073			Hexdc			
SRR21586220_peak_42947	chr9	49486071	49486071	+	20.4237	NA	intron (XR_003947876.1, intron 1 of 20)	-intron (NM_172770.3, intron 1 of 21)	154	NM_172770.3	Ttc12	XM_030244325			Ttc12			
SRR21586220_peak_13929b	chr14	82084350	82084350	+	20.4237	NA	Intergenic	Intergenic	-37097	Gm19050	Gm19050	Gm19050			Gm19050			NA
SRR21586220_peak_25908	chr2	177449038	177449038	+	20.4237	NA	Intergenic	Intergenic	-11159	Gm14414	Gm14414	Gm14414			Gm14414			NA
SRR21586220_peak_2093b	chr1	138312055	138312055	+	20.4237	NA	Intergenic	Intergenic	38317	NM_177397.3	Atp6v1g3	NM_177397			Atp6v1g3			
SRR21586220_peak_6658b	chr11	62355491	62355491	+	20.4176	NA	intron (XM_030245719.1, intron 25 of 47)	-intron (NM_001252313.1, intron 22 of 44)	-46446	Gm12275	Gm12275	Gm12275			Gm12275			NA
SRR21586220_peak_18083	chr17	13483162	13483162	+	20.4102	NA	Intergenic	Intergenic	-33562	Gm8603	Gm8603	Gm8603			Gm8603			NA
SRR21586220_peak_45265	chrX	90384987	90384987	+	20.4102	NA	Intergenic	Intergenic	34474	Gm4746	Gm4746	Gm4746			Gm4746			NA
SRR21586220_peak_11650b	chr13	66753037	66753037	+	20.4072	NA	promoter-TSS (XR_873612.1)	-promoter-TSS (XR_873612.1)	-25	XR_873612.1	Gm40989	XR_873612			Gm40989			
SRR21586220_peak_417	chr1	34038690	34038690	+	20.4072	NA	intron (XM_017314868.2, intron 1 of 92)	-intron (NM_001276764.1, intron 4 of 102)	27095	NM_134448.4	Dst	XM_006495678			Dst			
SRR21586220_peak_22710	chr2	5012859	5012859	+	20.4072	NA	promoter-TSS (NM_001305259.1)	-promoter-TSS (NM_001305259.1)	-68	NM_027290.3	Mcm10	NM_027290			Mcm10			
SRR21586220_peak_24483b	chr2	115581804	115581804	+	20.407	NA	promoter-TSS (NM_001145898.1)	-promoter-TSS (NM_001145898.1)	88	NM_001145898.1	BC052040	XM_030251825			BC052040			
SRR21586220_peak_7171a	chr11	80080907	80080907	+	20.407	NA	promoter-TSS (NM_001277106.1)	-promoter-TSS (NM_001277106.1)	84	NM_018776.2	Crlf3	NM_001277106			Crlf3			
SRR21586220_peak_5880b	chr11	22792385	22792385	+	20.4064	NA	Intergenic	Intergenic	-5079	Gm12058	Gm12058	Gm12058			Gm12058			NA
SRR21586220_peak_26719b	chr3	52391083	52391083	+	20.4051	NA	Intergenic	Intergenic	-34263	Gm34303	Gm34303	Gm34303			Gm34303			NA
SRR21586220_peak_37198a	chr7	17027486	17027486	+	20.4051	NA	exon (XM_017322043.1, exon 1 of 13)	-exon (XM_017322043.1, exon 1 of 13)	124	XM_017322043.1	Ppp5c	XM_030242236			Ppp5c			
SRR21586220_peak_17160a	chr16	36874994	36874994	+	20.4039	NA	promoter-TSS (NM_134111.2)	-promoter-TSS (NM_134111.2)	74	XM_006521684.4	Eaf2	XM_006521683			Eaf2			
SRR21586220_peak_6015	chr11	29597338	29597338	+	20.4036	NA	Intergenic	Intergenic	5319	Gm12091	Gm12091	Gm12091			Gm12091			NA
SRR21586220_peak_19502c	chr17	66480467	66480467	+	20.4032	NA	Intergenic	Intergenic	24618	XM_006523889.1	Rab12	XM_006523889			Rab12			
SRR21586220_peak_17402	chr16	56886375	56886375	+	20.4027	NA	promoter-TSS (NM_019631.3)	-promoter-TSS (NM_019631.3)	58	XM_006522395.4	Tmem45a	NM_019631			Tmem45a			
SRR21586220_peak_5117	chr10	121476675	121476675	+	20.4025	NA	promoter-TSS (NM_138956.3)	-promoter-TSS (NM_138956.3)	-425	NM_138956.3	Rassf3	XM_011243388			Rassf3			
SRR21586220_peak_39053a	chr7	108196255	108196255	+	20.3979	NA	Intergenic	Intergenic	-6885	Gm18944	Gm18944	Gm18944			Gm18944			NA
SRR21586220_peak_22115a	chr19	32254953	32254953	+	20.3945	NA	intron (XR_003952764.1, intron 3 of 12)	-intron (NM_001168525.1, intron 3 of 9)	-15562	XM_030250834.1	Sgms1	XM_011247202			Sgms1			
SRR21586220_peak_6628	chr11	61529467	61529467	+	20.3943	NA	intron (XM_030245541.1, intron 7 of 10)	-intron (NM_001252188.2, intron 7 of 10)	24280	XM_006533448.3	B9d1	NM_001330780			B9d1			
SRR21586220_peak_22665	chr19	61141020	61141020	+	20.3918	NA	promoter-TSS (NM_001001737.2)	-promoter-TSS (NM_001001737.2)	-176	XM_017318247.2	Zfp950	NR_131955			Zfp950			
SRR21586220_peak_18856b	chr17	35089396	35089396	+	20.386	NA	exon (NM_178592.3_4, exon 1 of 20)	-exon (NM_178592.3_4, exon 1 of 20)	105	NM_178592.3_4	Abhd16a	XR_385303			Abhd16a			
SRR21586220_peak_38676	chr7	83994545	83994545	+	20.386	NA	intron (XM_030243122.1, intron 8 of 31)	-intron (NM_030728.4, intron 5 of 28)	24308	XR_378314.3	Gm30440	XR_378310			Gm30440			
SRR21586220_peak_31143a	chr4	147124947	147124947	+	20.3725	NA	promoter-TSS (NM_001378742.1)	-promoter-TSS (NM_001378742.1)	65	NM_001378742.1	Zfp978	NM_001378742			Zfp978			
SRR21586220_peak_19089b	chr17	45573178	45573178	+	20.3705	NA	promoter-TSS (NM_008302.3)	-promoter-TSS (NM_008302.3)	83	NM_008302.3	Hsp90ab1	NM_008302			Hsp90ab1			
SRR21586220_peak_26799a	chr3	58576753	58576753	+	20.3656	NA	exon (NM_001040396.3, exon 1 of 6)	-exon (NM_001040396.3, exon 1 of 6)	117	NM_001040396.3	Selenot	NM_001040396			Selenot			
SRR21586220_peak_7935b	chr11	103443979	103443979	+	20.3656	NA	Intergenic	Intergenic	22551	XR_880238.2	Gm39397	XR_880238			Gm39397			
SRR21586220_peak_14355f	chr15	6747771	6747771	+	20.3634	NA	intron (XM_006520004.4, intron 5 of 31)	-intron (NM_030168.3, intron 5 of 37)	39390	NM_030168.3	Rictor	NM_030168			Rictor			
SRR21586220_peak_27536	chr3	97159536	97159536	+	20.361	NA	intron (XR_375566.4, intron 1 of 8)	-intron (NM_019800.4, intron 1 of 9)	759	NM_019800.4	Acp6	XR_375566			Acp6			
SRR21586220_peak_10664	chr13	20861072	20861072	+	20.3608	NA	intron (XM_017315521.1, intron 4 of 20)	-intron (NM_012054.4, intron 4 of 20)	20976	XM_011244311.1	Aoah	XM_030247287			Aoah			
SRR21586220_peak_19082b	chr17	45458873	45458873	+	20.3559	NA	intron (XM_006524918.3, intron 3 of 4)	-intron (NM_001357831.1, intron 3 of 7)	-3544	XM_011246605.2	Spats1	NM_027649			Spats1			
SRR21586220_peak_45658	chrX	136306395	136306395	+	20.3555	NA	Intergenic	Intergenic	-21781	Nsa2-ps2	Nsa2-ps2	Nsa2-ps2			Nsa2-ps2			NA
SRR21586220_peak_43434	chr9	70229901	70229901	+	20.3555	NA	intron (NM_181072.3, intron 1 of 27)	-intron (NM_181072.3, intron 1 of 27)	13155	XR_001779215.2	Gm26849	XR_001779215			Gm26849			
SRR21586220_peak_23335	chr2	32288125	32288125	+	20.3555	NA	promoter-TSS (NM_001080968.2)	-promoter-TSS (NM_001080968.2)	11	XR_374118.4	Swi5	NM_001290552			Swi5			
SRR21586220_peak_5514	chr11	6476273	6476273	+	20.3555	NA	promoter-TSS (NM_011221.3)	-promoter-TSS (NM_011221.3)	-197	NM_011221.3	Purb	NM_011221			Purb			
SRR21586220_peak_32067	chr5	32961839	32961839	+	20.3555	NA	intron (XM_030254556.1, intron 32 of 41)	-intron (NM_001025426.2, intron 34 of 42)	48208	Gm24003	Gm24003	Gm24003			Gm24003			NA
SRR21586220_peak_12079a	chr13	97589797	97589797	+	20.3549	NA	Intergenic	Intergenic	29797	NR_046157.1	Gm5086	NR_046157			Gm5086			
SRR21586220_peak_16395	chr16	8839273	8839273	+	20.3516	NA	intron (NM_001081400.3, intron 2 of 3)	-intron (NM_001081400.3, intron 2 of 3)	7160	XR_003951857.1	Gm52232	XR_003951857			Gm52232			
SRR21586220_peak_42699	chr9	37208328	37208328	+	20.3514	NA	promoter-TSS (NM_001310096.1)	-promoter-TSS (NM_001310096.1)	12	NM_001310096.1	Tmem218	XM_006510546			Tmem218			
SRR21586220_peak_6273a	chr11	49023356	49023356	+	20.3514	NA	Intergenic	Intergenic	-25407	Gm12186_2	Gm12186	Gm12186			Gm12186			
SRR21586220_peak_27642a	chr3	102832984	102832984	+	20.3514	NA	intron (XM_006501229.1, intron 23 of 25)	-intron (NM_011516.2, intron 30 of 32)	-43902	XM_006501304.4	Tshb	NM_001165939			Tshb			
SRR21586220_peak_41601	chr8	107109542	107109542	+	20.3494	NA	Intergenic	Intergenic	-12994	NM_001371067.1	Terf2	NM_001083118			Terf2			
SRR21586220_peak_2528	chr1	167498064	167498064	+	20.3484	NA	Intergenic	Intergenic	-31284	NM_001013382.3	Lrrc52	NM_001013382			Lrrc52			
SRR21586220_peak_40919	chr8	71531131	71531131	+	20.3463	NA	Intergenic	Intergenic	-5406	NM_001370849.1	Ccdc194	NM_001370849			Ccdc194			
SRR21586220_peak_27297b	chr3	90293102	90293102	+	20.3463	NA	promoter-TSS (NM_001379655.1)	-promoter-TSS (NM_001379655.1)	-79	NM_001379655.1	Gatad2b	NM_001379655			Gatad2b			
SRR21586220_peak_35962c	chr6	100420615	100420615	+	20.3457	NA	Intergenic	Intergenic	-48624	XR_869316.1	Gm38868	XR_869316			Gm38868			
SRR21586220_peak_12507	chr14	7314647	7314647	+	20.3434	NA	intron (XM_030248165.1, intron 1 of 2)	-intron (NM_001378725.1, intron 1 of 5)	598	NM_001378725.1	Gm3739	XM_030248164			Gm3739			
SRR21586220_peak_25605b	chr2	167423647	167423647	+	20.3397	NA	intron (XM_006500395.4, intron 1 of 16)	-intron (NM_001304540.1, intron 1 of 16)	1766	XM_006500395.4	Slc9a8	XM_006500400			Slc9a8			
SRR21586220_peak_40979	chr8	72664023	72664023	+	20.3374	NA	intron (XR_003947305.1, intron 4 of 18)	-intron (NM_176940.5, intron 4 of 18)	6921	XM_006531089.2	Nwd1	XM_030243607			Nwd1			
SRR21586220_peak_7415a	chr11	88864678	88864678	+	20.3374	NA	promoter-TSS (NM_001042541.1_2)	-promoter-TSS (NM_001042541.1_2)	-82	XM_030245481.1	Akap1	XR_388330			Akap1			
SRR21586220_peak_18433	chr17	27018126	27018126	+	20.3302	NA	promoter-TSS (NM_001251881.1)	-promoter-TSS (NM_001251881.1)	91	NM_001251881.1	Ggnbp1	NM_027544			Ggnbp1			
SRR21586220_peak_33848	chr5	135001432	135001432	+	20.3302	NA	promoter-TSS (NR_026907.1)	-promoter-TSS (NR_026907.1)	-82	NR_026907.1	Wbscr25	NR_026907			Wbscr25			
SRR21586220_peak_10325a	chr12	116280635	116280635	+	20.3285	NA	promoter-TSS (NM_028731.5)	-promoter-TSS (NM_028731.5)	-587	NM_028731.5	Esyt2	XM_030246808			Esyt2			
SRR21586220_peak_31675	chr5	14371150	14371150	+	20.3285	NA	Intergenic	Intergenic	-143756	XR_003955649.1	Pclo	XM_006503586			Pclo			
SRR21586220_peak_23923a	chr2	71745185	71745185	+	20.3224	NA	intron (XR_866415.1, intron 3 of 4)	-intron (XR_866412.1, intron 2 of 3)	5320	XR_866415.1	Gm17250	XR_866412			Gm17250			
SRR21586220_peak_43704	chr9	86571730	86571730	+	20.3191	NA	promoter-TSS (NM_001145968.1)	-promoter-TSS (NM_001145968.1)	112	NM_028352.4	Pgm3	NM_028352			Pgm3			
SRR21586220_peak_27405	chr3	95224480	95224480	+	20.3162	NA	intron (NR_108026.1, intron 3 of 3)	-intron (NM_019914.4, intron 1 of 1)	-3944	NM_172395.3	Cdc42se1	NM_001038708			Cdc42se1			
SRR21586220_peak_34619	chr6	22125475	22125475	+	20.3108	NA	intron (XM_011241054.3, intron 10 of 21)	-intron (NM_001081351.1, intron 10 of 21)	-59200	Gm8564	Gm8564	Gm8564			Gm8564			NA
SRR21586220_peak_37105	chr7	13038099	13038099	+	20.3095	NA	promoter-TSS (NM_001243968.1)	-promoter-TSS (NM_001243968.1)	-121	NM_145578.3	Ube2m	NM_001243968			Ube2m			
SRR21586220_peak_45372a	chrX	101332362	101332362	+	20.3047	NA	Intergenic	Intergenic	-5726	XR_387011.3	Gm31385	XR_387011			Gm31385			
SRR21586220_peak_2698b	chr1	178318683	178318683	+	20.3046	NA	promoter-TSS (NM_025511.2_2)	-promoter-TSS (NM_025511.2_2)	-470	NM_025511.2_2	Cox20	NM_025511			Cox20			
SRR21586220_peak_9471	chr12	72536154	72536154	+	20.2982	NA	promoter-TSS (NM_026327.3)	-promoter-TSS (NM_026327.3)	-1	XM_006516177.3	Pcnx4	XM_006516175			Pcnx4			
SRR21586220_peak_8998	chr12	31936945	31936945	+	20.2982	NA	intron (XM_030246951.1, intron 6 of 10)	-intron (NM_001163126.1, intron 22 of 22)	13275	XM_006515228.4	Hbp1	XM_006515227			Hbp1			
SRR21586220_peak_42905	chr9	46155126	46155126	+	20.2973	NA	intron (XM_006510590.3, intron 3 of 23)	-intron (NM_027498.3, intron 3 of 24)	-5900	Pou5f1-rs9	Pou5f1-rs9	Pou5f1-rs9			Pou5f1-rs9			NA
SRR21586220_peak_9893b	chr12	87266567	87266567	+	20.2965	NA	promoter-TSS (NM_001142580.1)	-promoter-TSS (NM_001142580.1)	152	XM_006515729.2	Ahsa1	XM_006515729			Ahsa1			
SRR21586220_peak_2778	chr1	181623539	181623539	+	20.2965	NA	intron (XM_017314066.2, intron 15 of 83)	-intron (NM_001377039.1, intron 18 of 86)	3696	XR_373757.4	Gm33612	XR_373757			Gm33612			
SRR21586220_peak_19660a	chr17	79342836	79342836	+	20.2951	NA	intron (NM_026514.3, intron 1 of 1)	-intron (NM_026514.3, intron 1 of 1)	-11863	NR_165822.1	Gm17315	NR_165822			Gm17315			
SRR21586220_peak_28514	chr4	11388147	11388147	+	20.2951	NA	exon (XR_390400.3, exon 2 of 2)	-exon (XR_390400.3, exon 2 of 2)	1015	XR_390400.3	Gm35631	XR_390400			Gm35631			
SRR21586220_peak_21626	chr19	6675804	6675804	+	20.2936	NA	Intergenic	Intergenic	-82465	Hmgb1-ps4_2	Hmgb1-ps4	Hmgb1-ps4_2			Hmgb1-ps4			
SRR21586220_peak_26096	chr3	7568184	7568184	+	20.2936	NA	Intergenic	Intergenic	-44521	NR_168341.1	Gm16685	NR_168341			Gm16685			
SRR21586220_peak_28933	chr4	43044135	43044135	+	20.2936	NA	intron (NR_045567.1, intron 1 of 7)	-intron (NM_172691.3, intron 1 of 8)	1657	XM_030253415.1	Fam214b	XM_006537823			Fam214b			
SRR21586220_peak_43344e	chr9	65607038	65607038	+	20.2936	NA	Intergenic	Intergenic	-6057	Gm10144	Gm10144	Gm10144			Gm10144			NA
SRR21586220_peak_26657a	chr3	45578745	45578745	+	20.2908	NA	Intergenic	Intergenic	-139436	NR_040594.1	1700027H10Rik	NR_040594			1700027H10Rik			
SRR21586220_peak_36813b	chr6	147903705	147903705	+	20.2876	NA	Intergenic	Intergenic	-143711	NM_001347516.1_2	Far2	XM_006507070			Far2			
SRR21586220_peak_8763c	chr12	19175635	19175635	+	20.2876	NA	Intergenic	Intergenic	-68285	XR_872518.1	Gm40843	XR_872519			Gm40843			
SRR21586220_peak_29323c	chr4	64868060	64868060	+	20.2876	NA	Intergenic	Intergenic	-10012	Gm11218	Gm11218	Gm11218			Gm11218			NA
SRR21586220_peak_42240	chr9	11106485	11106485	+	20.2857	NA	Intergenic	Intergenic	92040	Gm18488	Gm18488	Gm18488			Gm18488			NA
SRR21586220_peak_28507b	chr4	11200698	11200698	+	20.2783	NA	intron (NM_178112.5, intron 27 of 27)	-intron (NM_001037134.2, intron 9 of 11)	8910	XM_011249913.3	Ccne2	XM_006537574			Ccne2			
SRR21586220_peak_32006	chr5	31202408	31202408	+	20.2774	NA	promoter-TSS (NM_001177901.1)	-promoter-TSS (NM_001177901.1)	-100	XM_030254033.1	Zfp513	XM_006503657			Zfp513			
SRR21586220_peak_1173	chr1	78602335	78602335	+	20.2767	NA	intron (XM_017322283.2, intron 6 of 6)	-intron (XM_017322283.2, intron 6 of 6)	-13132	XR_001779009.1	Gm29611	XR_001779009			Gm29611			
SRR21586220_peak_38352b	chr7	63956601	63956601	+	20.2744	NA	intron (XR_882156.1, intron 1 of 2)	-intron (XR_882156.1, intron 1 of 2)	213	XR_882156.1	Gm39024	XR_882156			Gm39024			
SRR21586220_peak_41157	chr8	84198445	84198445	+	20.2675	NA	Intergenic	Intergenic	-10073	NR_029740.1	Mir23a	NR_029740			Mir23a			
SRR21586220_peak_5442c	chr11	5099763	5099763	+	20.266	NA	promoter-TSS (NM_001283061.2)	-promoter-TSS (NM_001283061.2)	15	NR_110961.1	Rhbdd3	XM_017314584			Rhbdd3			
SRR21586220_peak_18166	chr17	16997360	16997360	+	20.2631	NA	Intergenic	Intergenic	-7756	NM_001374002.1	Gm51425	NM_001374002			Gm51425			
SRR21586220_peak_25285	chr2	156217998	156217998	+	20.2597	NA	intron (XM_017317827.2, intron 1 of 15)	-intron (NM_172674.2, intron 1 of 17)	21285	XM_017317827.2	Phf20	XM_006499339			Phf20			
SRR21586220_peak_10745a	chr13	23535116	23535116	+	20.2585	NA	promoter-TSS (NM_145073.2)	-promoter-TSS (NM_145073.2)	-302	NM_145073.2	H3c8	NM_145073			H3c8			
SRR21586220_peak_25886b	chr2	177206636	177206636	+	20.251	NA	promoter-TSS (NM_001374129.1)	-promoter-TSS (NM_001374129.1)	-139	XM_030252323.1	Gm14410	XM_030252323			Gm14410			
SRR21586220_peak_27386b	chr3	94974810	94974810	+	20.251	NA	promoter-TSS (NM_001293715.1)	-promoter-TSS (NM_001293715.1)	79	NM_175356.3	Pi4kb	NM_001293716			Pi4kb			
SRR21586220_peak_27353b	chr3	93597499	93597499	+	20.251	NA	promoter-TSS (XR_867459.1)	-promoter-TSS (XR_867459.1)	5	XR_867459.1	Gm40093	XR_867459			Gm40093			
